control,depth
3.0375,2.725
3.3687,2.8062
3.2875,2.975
2.6375,2.7875
3.75,3.1313
3.3062,3.025
3.6375,3.5375
2.9937,2.8188
2.5562,2.3813
3.25,2.6875
2.6375,2.6125
3.1938,2.9063
3.4937,2.8375
2.8563,2.9188
3.7563,3.5187
3.3312,2.9625
3.5,3.525
3.0938,2.7938
2.8813,2.7125
2.8875,2.7625
2.6875,2.3438
2.925,2.7875
3.5625,3.5438
3.1,2.5438
3.4438,3.2813
2.4375,2.3312
2.8625,2.7687
3.3875,2.7938
2.8813,2.8438
3.1875,2.8687
3.0125,2.5187
3.05,2.6938
2.9063,2.7
2.8062,2.6688
2.2563,2.6625
2.7313,2.7375
2.9125,2.1688
